"brand","quantity"
"Dots","2171212"
"Plastic Development Group","2171010"
"Baby Dove","2168009"
"YoCrunch","2161803"
"Cadet","2161065"
"Kellogg's Raisin Bran","2152426"
"SUGARFIX by BaubleBar","2151926"
"Logitech","2145039"
"Nutri-Grain","2143066"
"Red's All Natural","2128587"
"Alfaro's","2127817"
"Trojan","2125179"
"Garden of Life","2125130"
"Cricut","2120241"
"Intex","2112917"
"Mother's Cookies","2112048"
"OshKosh B'gosh","2110679"
"P3 Portable Protein Pack","2110297"
"Idea Nuova","2108911"
"Clean & Clear","2104442"
"Fruit by the Foot","2103236"
"Gardein","2098094"
"Deer Park","2097070"
"Universal Home Video","2095596"
"Nutro","2092138"
"AHA","2089208"
"Bagel Bites","2084715"
"Ensure","2084515"
"Columbus","2082972.6205"
"Depend","2077329"
"GoodNites","2073767"
"Gorilla","2073460"
"Elf on the Shelf","2072618"
"siggi's","2066001"
"KISS Products","2064422"
"Cremo","2062948"
"Grin Oral Care","2062129"
"Whoppers","2061914"
"Rolo","2052974"
"Babyganics","2050417"
"French's","2048535"
"Stacys","2036816"
"Tootsie Pops","2035035"
"Ninja","2034154"
"Newman's Own","2034025"
"SWEET EARTH NATURAL FOODS","2032831"
"Versed","2022556"
"Taylor","2019891"
"Itzy Ritzy","2019215"
"Galerie","2017589"
"Stella Rosa","2015169"
"Fresh Garden Highway","2013769"
"Delectables","2009883"
"Filtrete","2000366"
"John Frieda","1997127"
"Chef Boyardee","1995523"
"Infantino","1993030"
"Palmer","1991617"
"Snuggle","1979621"
"Mohawk","1975873"
"Woolite","1973869"
"Fanta","1972741"
"Halo Top","1967952"
"Kaytee","1967301"
"Nesquik","1959648"
"Pretzel Crisps","1956425"
"Anker","1955309"
"Rana","1955040"
"Google","1954736"
"Propel","1941682"
"What Do You Meme?","1936716"
"Bob's Red Mill","1935735"
"My/Mochi","1926890"
"Bona","1926558"
"KIWI","1926137"
"Hot Tamales","1921860"
"The Ordinary","1920099"
"No7","1918878"
"White Claw Hard Seltzer","1916169"
"Perrier","1909757"
"Wiley Wallaby","1909113"
"Krusteaz","1907200"
"NUK","1907094"
"Little Remedies","1904182"
"Shark","1903335"
"Edge","1903155"
"O'Keeffe's","1896333"
"imPRESS Press-On Manicure","1895520"
"Fiber One","1890639"
"Teavana","1890145"
"Rosarita","1886205"
"Welly","1884952"
"Red Vines","1884831"
"Celestial Seasonings","1884123"
"Stove Top","1883580"
"Best Foods","1881381"
"PureMoist","1869865"
"Kikkoman","1869557"
"JIFFY","1867250"
"Calidad","1865833"
"X-Shot","1864134"
"Juicy Juice","1861410"
"Biore","1860298"
"Pace","1859241"
"Airborne","1858572"
"Liquid-Plumr","1858411"
"Sprayway","1857978"
"Thayers Natural Remedies","1850222"
"Country Crock","1849062"
"Grayson Mini","1845716"
"Millie Moon","1844294"
"Hickory Farms","1839259"
"Beats","1838474"
"Oster","1837579"
"Desitin","1835570"
"Laugh & Learn","1829930"
"Busy","1829764"
"Maui Moisture","1828955"
"L.A. Girl","1824872"
"Godiva","1814132"
"Josh Cellars","1811212"
"Simply Gum","1809356"
"My Look","1807861"
"Dramamine","1798698"
"Unstopables","1797193"
"Push Pop","1788420"
"Farberware","1784135"
"Dum Dums","1775527"
"Sprite Zero","1773752"
"POND'S","1773228"
"Little People","1771502"
"Mad Love","1767853"
"Blue Ridge Tools","1760541"
"Fashion Forms","1751272"
"Robitussin","1749871"
"Simple Mills","1747339"
"Well Yes!","1747314"
"Muscle Milk","1745677"
"Dole","1745613"
"Irish Spring","1744851"
"Baby Alive","1743261"
"Goodles","1742002"
"Multipet","1741125"
"Crunch Pak","1740785"
"Grayson Threads","1734299"
"MAM","1734264"
"Caribou Coffee","1733238"
"Encanto","1730656"
"Pine-Sol","1726510"
"Alexia","1725385"
"Mickey Mouse & Friends","1720306"
"Exploding Kittens","1718392"
"Primal Kitchen","1717964"
"Tate's Bake Shop","1716451"
"Philips Norelco","1714162"
"Purex","1709801"
"Green Inspired","1709326"
"Mead","1707347"
"Frank's RedHot","1706226"
"Woods","1699846"
"Biscoff","1689363"
"Skip Hop","1689052"
"Electronic Arts","1687159"
"Werther's Original","1685539"
"Mommy's Bliss","1684612"
"Soft Scrub","1683908"
"NCAA","1681635"
"quip","1678798"
"Physicians Formula","1667726"
"Aqua Green","1666804"
"Pup-Peroni","1666027"
"Olive Garden","1664427"
"Tech Deck","1663002"
"OPI","1659620"
"Cardinal","1658685"
"Cascadian Farm","1657589"
"PanOxyl","1656816"
"Cards Against Humanity","1656448"
"Muir Glen","1653064"
"Reese's Puffs","1652698"
"Jergens Natural Glow","1652195"
"Nature's Recipe","1647201"
"Barefoot","1639261"
"Bar Keepers Friend","1638178"
"Gatorade RTD","1636818"
"Sonic","1634691"
"Nexcare","1632030"
"Sourcebooks","1627423"
"ShedRain","1620540"
"Who What Wear","1618463"
"Blow Pop","1618333"
"Cora","1618320"
"Matchbox","1617673"
"Epson","1614546"
"The First Years","1614249"
"Vive Organic","1608073"
"Wahl","1607179"
"OtterBox","1606012"
"Laughing Cow","1601600"
"Barbasol","1594784"
"FriXion","1591408"
"Day Designer","1590231"
"Hyland's Naturals","1589106"
"Osem","1586312"
"Caress","1583073"
"La Marca","1581693"
"Nordic Ware","1581373"
"Diamond","1576351"
":ratio","1573966"
"Rainbocorns","1573578"
"Milk Duds","1573349"
"Pure Protein","1571654"
"Martin's","1569046"
"Dental Source","1565417"
"SanDisk","1564894"
"Crystal Creamery","1564672"
"LUNA Bar","1561497"
"Duncan Hines","1561423"
"Honeysuckle White","1558804.3212"
"Aso","1553945"
"First Response","1553044"
"Simple Modern","1551878"
"Stoney Clover Lane x Target","1551560"
"Goo Jit Zu","1545217"
"Terry's","1544391"
"Little Trees","1544224"
"Just For Men","1541347"
"D221 Use Only","1541346"
"Scott & Jon's","1540596"
"Guayaki","1540285"
"Vagisil","1538237"
"Dashing Diva","1537256"
"Toy Story","1533945"
"Good 'n' Fun","1532882"
"Plum Beauty","1532474"
"Galbani","1527791"
"Butterfinger","1527480"
"Vital Proteins","1526963"
"Fruit Roll-Ups","1526733"
"Sugar Paper Essentials","1524199"
"Claussen","1523237"
"Zevo","1511377"
"Poo-Pourri","1510734"
"Reduce","1508629"
"Little Live Pets","1505188"
"AZO","1504701"
"Nature's Bounty","1501755"
"Hi-Chew","1500435"
"Reach","1499651"
